ID,Partei,Titel,Vorname,Nachname,Wahlkreis_ID,Wahlkreis_Name,Jahrgang,Geburtsort,Geburtsort_Location,Beruf,Geschlecht
64,PIRATEN,,Frank,Thiesen,78,Spandau und Charlottenburg-Nord,1966,Husum,"54.4837642, 9.0600628",Berufsfeuerwehrmann,m
65,PIRATEN,,Gerwald,Claus-Brunner,79,Steglitz-Zehlendorf,1972,Dissen,"52.1407183, 8.1960715",Mechatroniker,m
66,PIRATEN,,Siegfried,Schlosser,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1956,Herdorf,"50.77835, 7.950486",Programmierer,m
67,PIRATEN,,Frank,Röder,81,Tempelhof-Schöneberg,1962,Boppard,"50.23177, 7.588005",Wissenschaftlicher Mitarbeiter,m
68,PIRATEN,,Anne,Helm,82,Neukölln,1986,Rostock,"54.078967, 12.132453",Synchronsprecherin,w
69,PIRATEN,,Sebastian,von Hoff,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1982,Aschersleben,"51.75825, 11.46122",Schornsteinfeger,m
70,PIRATEN,,Volker,Schröder,84,Treptow-Köpenick,1970,Wetzlar,"50.55242, 8.49903",IT-Berater,m
71,PIRATEN,,Björn,Glienke,85,Marzahn-Hellersdorf,1978,Berlin,"52.516074, 13.376987",Student,m
72,PIRATEN,,Denis,Sabin,86,Lichtenberg,1984,Hohenmölsen,"51.156212, 12.09774",Elektrotechniker,m
73,NPD,,Richard,Miosga,75,Mitte,1944,"Frankenstein, Polen","50.5893617, 16.8132419",Kaufmann,m
74,BüSo,,Daniel,Köppen,75,Mitte,1984,Berlin,"52.516074, 13.376987",Installateur,m
75,MLPD,,Annegret,Höcker,75,Mitte,1954,Herford,"52.116105, 8.66931",Grundschullehrerin,w
76,AfD,,Beatrix,von Storch,75,Mitte,1971,Lübeck,"53.866275, 10.68088",Rechtsanwältin,w
77,BIG,,Selcuk,Bulat,75,Mitte,1980,Berlin,"52.516074, 13.376987",Dipl.-Ing.,m
78,FREIE WÄHLER,,Furat,Mohammad,75,Mitte,1989,Überlingen/Bodensee,"47.767319, 9.15918",Student,m
79,Die PARTEI,,David,Hamann,75,Mitte,1981,Hemer,"51.38151, 7.767893",Historiker,m
80,Bedingungsloses Grundeinkommen,,Ralph,Boes,75,Mitte,1957,Bad Kreuznach,"49.843148, 7.86331",Philosoph,m
81,DKP,,Tunia,Erler,75,Mitte,1963,Waldheim,"51.0765557, 13.0045223",Bibliotheksfacharbeiterin,w
82,Journalistin,,Franziska,Sylla,75,Mitte,1971,Berlin,"52.516074, 13.376987","Dipl. Betriebswirtin, Journalistin",w
83,NPD,,Uwe,Meenen,76,Pankow ohne Prenzlauer Berg Ost,1965,Würzburg,"49.792775, 9.936395",Verlagskaufmann,m
